Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,New England Patriots,6,48,1408,341,4.1,16,2,76,112,210,966,1,14,4.1,46,106,442,2,4.2,18,34,331,12,6.3,20.3,129.15
2,San Francisco 49ers,5,64,1187,277,4.3,12,5,65,82,153,751,5,7,4.4,33,107,436,1,4.1,26,36,303,6,19.0,19.0,78.25
3,Chicago Bears,5,69,1561,330,4.7,10,6,105,135,191,1146,4,4,5.5,68,122,415,4,3.4,24,42,337,13,24.1,18.5,19.07
4,Buffalo Bills,5,70,1375,305,4.5,8,3,80,105,183,936,3,5,4.8,48,110,439,4,4.0,24,39,279,8,15.0,13.3,34.86
5,Tennessee Titans,6,92,1931,375,5.1,8,2,105,138,209,1304,8,6,5.7,65,148,627,3,4.2,31,56,456,9,22.7,10.7,26.17
6,Minnesota Vikings,6,93,1862,388,4.8,10,4,118,153,226,1313,10,6,5.4,76,145,549,1,3.8,27,41,341,15,26.6,15.6,14.48
7,Denver Broncos,6,106,1847,364,5.1,6,1,109,126,197,1176,4,5,5.6,61,155,671,5,4.3,33,45,367,15,31.8,9.1,2.06
8,Dallas Cowboys,6,114,1991,370,5.4,5,3,123,147,222,1428,5,2,6.1,68,134,563,7,4.2,39,45,412,16,35.5,8.1,-22.17
9,Indianapolis Colts,5,115,1776,290,6.1,5,3,107,116,166,1210,10,2,6.8,61,111,566,3,5.1,37,46,428,9,39.6,8.3,-39.23
10,Green Bay Packers,6,115,2183,381,5.7,11,4,120,121,209,1436,6,7,6.3,69,154,747,7,4.9,41,49,501,10,30.1,15.1,0.90
11,Detroit Lions,5,118,2069,349,5.9,11,8,115,117,207,1400,6,3,6.5,69,132,669,5,5.1,27,33,234,19,37.9,15.5,-25.56
12,Los Angeles Chargers,6,118,1930,333,5.8,7,2,107,114,155,1207,10,5,7.2,57,166,723,4,4.4,42,40,366,8,31.7,11.7,-47.60
13,New Orleans Saints,6,122,2043,360,5.7,7,4,113,122,197,1426,8,3,6.6,70,145,617,7,4.3,30,35,296,13,33.3,11.1,-30.17
14,New York Jets,5,123,1789,329,5.4,8,4,103,118,186,1310,5,4,6.8,62,136,479,7,3.5,25,42,354,16,35.6,10.2,-11.00
15,Oakland Raiders,5,123,1778,304,5.8,5,2,102,112,172,1318,11,3,7.3,63,123,460,4,3.7,21,37,327,18,40.4,9.6,-46.08
16,Pittsburgh Steelers,6,131,2126,408,5.2,15,7,136,143,213,1465,10,8,6.3,79,175,661,4,3.8,43,49,445,14,36.8,22.1,3.19
17,Jacksonville Jaguars,6,131,2236,378,5.9,2,1,121,127,208,1449,8,1,6.4,74,151,787,6,5.2,38,37,356,9,34.8,1.5,-42.35
18,Carolina Panthers,6,133,2064,418,4.9,15,6,128,146,239,1350,7,9,5.1,74,152,714,7,4.7,44,49,396,10,31.6,17.7,16.91
19,Houston Texans,6,134,2136,372,5.7,9,6,124,161,237,1608,11,3,6.4,86,119,528,3,4.4,27,47,364,11,41.3,14.3,-31.29
20,Baltimore Ravens,6,140,2101,331,6.3,7,2,112,129,210,1617,6,5,7.3,71,110,484,8,4.4,25,42,302,16,41.9,9.7,-45.90
21,Kansas City Chiefs,6,144,2437,418,5.8,10,4,155,141,219,1466,8,6,6.4,83,188,971,8,5.2,55,49,351,17,45.2,16.1,-48.56
