Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Michael Thomas\ThomMi05,NOR,26,WR,6,6,67,53,79.1%,632,11.9,3,42,9.4,8.8,105.3,0
2,Cooper Kupp\KuppCo00,LAR,26,WR,6,5,69,45,65.2%,522,11.6,4,66,7.6,7.5,87.0,0
3,Chris Godwin\GodwCh00,TAM,23,WR,6,6,55,43,78.2%,662,15.4,6,30,12.0,7.2,110.3,0
4,Austin Ekeler\EkelAu00,LAC,24,RB,6,5,45,42,93.3%,370,8.8,3,55,8.2,7.0,61.7,2
5,Austin Hooper\HoopAu00,ATL,25,TE,6,5,50,42,84.0%,480,11.4,3,30,9.6,7.0,80.0,0
6,Keenan Allen\AlleKe00,LAC,27,WR,6,6,59,40,67.8%,503,12.6,3,34,8.5,6.7,83.8,0
7,Tyler Boyd\BoydTy00,CIN,25,WR,6,6,60,40,66.7%,416,10.4,1,47,6.9,6.7,69.3,0
8,DeAndre Hopkins\HopkDe00,HOU,27,WR,6,6,56,40,71.4%,402,10.1,2,38,7.2,6.7,67.0,0
9,Julian Edelman\EdelJu00,NWE,33,WR,6,5,56,38,67.9%,449,11.8,2,36,8.0,6.3,74.8,1
10,Darren Waller\WallDa01,OAK,27,TE,5,5,42,37,88.1%,359,9.7,0,30,8.5,7.4,71.8,0
11,Larry Fitzgerald\FitzLa00,ARI,36,WR,6,6,52,35,67.3%,427,12.2,2,54,8.2,5.8,71.2,0
12,Tyler Lockett\LockTy00,SEA,27,WR,6,6,41,35,85.4%,454,13.0,3,44,11.1,5.8,75.7,0
13,Christian McCaffrey\McCaCh01,CAR,23,RB,6,6,44,35,79.5%,305,8.7,2,25,6.9,5.8,50.8,0
14,Mark Andrews\AndrMa00,BAL,23,te,6,1,47,34,72.3%,410,12.1,3,39,8.7,5.7,68.3,2
15,Julio Jones\JoneJu02,ATL,30,WR,6,6,53,34,64.2%,467,13.7,4,54,8.8,5.7,77.8,1
16,Amari Cooper\CoopAm00,DAL,25,WR,6,6,45,33,73.3%,515,15.6,5,53,11.4,5.5,85.8,0
17,Evan Engram\EngrEv00,NYG,25,TE,5,4,48,33,68.8%,373,11.3,2,75,7.8,6.6,74.6,0
18,Zach Ertz\ErtzZa00,PHI,29,TE,6,6,54,33,61.1%,366,11.1,1,26,6.8,5.5,61.0,1
19,Will Fuller\FullWi01,HOU,25,WR,6,6,48,33,68.8%,444,13.5,3,54,9.3,5.5,74.0,1
20,Alvin Kamara\KamaAl00,NOR,24,RB,6,6,39,33,84.6%,276,8.4,1,41,7.1,5.5,46.0,2
21,D.J. Moore\MoorD.00,CAR,22,WR,6,6,49,33,67.3%,425,12.9,1,52,8.7,5.5,70.8,1
22,Travis Kelce\KelcTr00,KAN,30,TE,6,6,49,32,65.3%,497,15.5,1,42,10.1,5.3,82.8,0
23,Mohamed Sanu\SanuMo00,ATL,30,WR,6,5,40,32,80.0%,310,9.7,1,28,7.8,5.3,51.7,0
24,George Kittle\KittGe00,SFO,26,TE,5,5,37,31,83.8%,338,10.9,1,45,9.1,6.2,67.6,0
25,Allen Robinson\RobiAl02,CHI,26,WR,5,4,43,31,72.1%,377,12.2,2,32,8.8,6.2,75.4,0
26,James White\WhitJa02,NWE,27,,5,0,39,31,79.5%,224,7.2,1,32,5.7,6.2,44.8,0
27,Robert Woods\WoodRo02,LAR,27,WR,6,6,51,31,60.8%,355,11.5,0,37,7.0,5.2,59.2,0
28,DJ Chark\CharDJ00,JAX,23,WR,6,5,44,30,68.2%,528,17.6,5,69,12.0,5.0,88.0,0
29,David Johnson\JohnDa08,ARI,28,RB,6,6,41,30,73.2%,315,10.5,3,31,7.7,5.0,52.5,0
30,Courtland Sutton\SuttCo00,DEN,24,WR,6,4,46,30,65.2%,477,15.9,3,70,10.4,5.0,79.5,1
31,Odell Beckham\BeckOd00,CLE,27,WR,6,6,54,29,53.7%,436,15.0,1,89,8.1,4.8,72.7,1
32,Le'Veon Bell\BellLe00,NYJ,27,RB,5,5,33,28,84.8%,169,6.0,1,17,5.1,5.6,33.8,1
33,John Brown\BrowJo02,BUF,29,WR,5,5,39,28,71.8%,390,13.9,1,38,10.0,5.6,78.0,0
34,Jamison Crowder\CrowJa00,NYJ,26,WR,5,4,40,28,70.0%,272,9.7,0,30,6.8,5.6,54.4,0
35,Cole Beasley\BeasCo00,BUF,30,WR,5,4,39,27,69.2%,267,9.9,0,51,6.8,5.4,53.4,0
36,Mike Evans\EvanMi00,TAM,26,WR,6,6,55,27,49.1%,464,17.2,4,67,8.4,4.5,77.3,0
37,Chris Thompson\ThomCh03,WAS,29,,6,0,38,27,71.1%,276,10.2,0,39,7.3,4.5,46.0,0
38,James Conner\ConnJa00,PIT,24,RB,6,6,27,26,96.3%,231,8.9,2,26,8.6,4.3,38.5,1
39,Leonard Fournette\FourLe00,JAX,24,RB,6,6,36,26,72.2%,189,7.3,0,20,5.3,4.3,31.5,1
40,Adam Thielen\ThieAd00,MIN,29,WR,6,6,38,26,68.4%,366,14.1,5,44,9.6,4.3,61.0,0
41,Dede Westbrook\WestDe00,JAX,26,WR,6,5,45,26,57.8%,280,10.8,1,32,6.2,4.3,46.7,0
42,Davante Adams\AdamDa01,GNB,27,WR,4,4,36,25,69.4%,378,15.1,0,58,10.5,6.3,94.5,0
43,Devonta Freeman\FreeDe00,ATL,27,RB,6,6,29,25,86.2%,203,8.1,3,28,7.0,4.2,33.8,1
44,Jarvis Landry\LandJa00,CLE,27,WR,6,6,44,25,56.8%,439,17.6,0,65,10.0,4.2,73.2,0
45,Calvin Ridley\RidlCa00,ATL,25,WR,6,5,38,25,65.8%,343,13.7,4,34,9.0,4.2,57.2,0
46,Emmanuel Sanders\SandEm00,DEN,32,WR,6,6,38,25,65.8%,307,12.3,2,53,8.1,4.2,51.2,0
47,Sterling Shepard\ShepSt00,NYG,26,WR,4,4,34,25,73.5%,267,10.7,1,36,7.9,6.3,66.8,0
48,JuJu Smith-Schuster\SmitJu00,PIT,23,WR,6,6,38,25,65.8%,340,13.6,2,76,8.9,4.2,56.7,1
49,Michael Gallup\GallMi00,DAL,23,WR,4,3,36,24,66.7%,387,16.1,1,62,10.8,6.0,96.8,0
50,Kenny Golladay\GollKe00,DET,26,WR,5,5,45,24,53.3%,364,15.2,4,66,8.1,4.8,72.8,0
51,T.Y. Hilton\HiltT.00,IND,30,WR,4,4,29,24,82.8%,232,9.7,4,26,8.0,6.0,58.0,0
52,Alshon Jeffery\JeffAl00,PHI,29,WR,5,5,36,24,66.7%,215,9.0,3,26,6.0,4.8,43.0,0
53,Christian Kirk\KirkCh01,ARI,23,WR,4,4,37,24,64.9%,242,10.1,0,34,6.5,6.0,60.5,0
54,Nelson Agholor\AghoNe00,PHI,26,WR,6,6,39,23,59.0%,230,10.0,3,43,5.9,3.8,38.3,2
55,Dalvin Cook\CookDa01,MIN,24,RB,6,6,26,23,88.5%,213,9.3,0,24,8.2,3.8,35.5,2
56,Brandin Cooks\CookBr00,LAR,26,WR,6,6,37,23,62.2%,343,14.9,1,57,9.3,3.8,57.2,0
